name,phd_university,image_url
Prof. Boris Babic,"JD., Harvard Law School, United States",/uploads/image/202409/af79edec8240dc022014af59a60b1bc3.jpg
Prof. Zhanrui CAI,"Ph.D., The Pennsylvania State University, United States",/uploads/image/202408/45326d58ed53b6ad2afb7adffce17dcb.jpg
Prof. Michael C. L. CHAU,"Ph.D., Arizona University, United States",/uploads/image/202205/ac5d364416b5bb9a1714038c2c4d5276.jpg
"Prof. Hailiang CHEN, Assistant Dean (Taught Postgraduate) Associate Professor","Ph.D., Purdue University, United States",/uploads/image/202205/7bf2456efbfe30faf679e8687b593095.JPG
Prof. Chao DING,"Ph.D., University of Florida, United States",/uploads/image/202205/caadde230670b19f303e4d280934e054.JPG
Prof. Xing HU,"Ph.D., Stern School of Business, New York University, United States",/uploads/image/202205/b1afbc52a0554880ed85aa5e60cff5fa.JPG
Prof. Shan HUANG,"Ph.D., MIT Sloan School of Management, United States",/uploads/image/202205/020f412b778f104f4cb3e5066b0999f1.JPG
"Prof. Zhenhui Jack JIANG,  Area Head of Innovation and Information Management","Ph.D., University of British Columbia, Canada",/uploads/image/202205/60ec248db1e94f347d9a768a8fafe269.JPG
Prof. Xiao LEI,"Ph.D., Columbia University, United States",/uploads/image/202308/8acee1b2322280313707617a6c1966f0.jpg
Prof. Lionel Zhepeng LI,"Ph.D., University of Utah, United States",/uploads/image/202205/c83e27a202d4c9322d7044758c9cca94.JPG
Prof. Shengjun MAO,"Ph.D., University of California, Irvine, United States",/uploads/image/202205/4e210578816e92384afeb07e1e9f4794.JPG
Prof. Huiyin OUYANG,"Ph.D., University of North Carolina, Chapel Hill, United States",/uploads/image/202205/2543629b0e118abbb724ff09fe9da244.JPG
Prof. Jing Ouyang,"Ph.D., University of Michigan, United States",/uploads/image/202408/646f22cf27c480ebe9d3eb7c0b131780.jpg
Prof. Sundara Natarajan PANCHANATHAM,"Ph.D., INSEAD, France",/uploads/image/202408/cb2ef0356ce34fe714b16d3e3d968532.jpg
Prof. Tuan Quang PHAN,"DBA, Harvard Business School, United States",/uploads/image/202205/8a3f33dd8ad8e7216974da44ee4e6c99.JPG
Prof. Xinghao Qiao,"PhD., Marshall School of Business, University of Southern California, United States",/uploads/image/202408/e8bf9b34bccaedb43a4058c28068043f.jpg
"Prof. Haipeng SHEN, Associate Dean (Executive Education)","Ph.D., The Wharton School of Business, University of Pennsylvania, United States",/uploads/image/202208/912e4fbe417ba7386483c5a63114a859.jpg
Prof. Rachel Sterken,Associate Professor,/uploads/image/202409/83821ba1ea032d65b64781bd3e117066.jpg
Prof. Feng TIAN,"Ph.D., Ross School of Business, University of Michigan, United States",/uploads/image/202205/ee160c92942d144cdb84b678abe13d8f.JPG
Prof. Zhixi WAN,"Ph.D., Ross School of Business, University of Michigan, United States",/uploads/image/202208/ea794c806522034724714b9f816c2b4f.jpg
Prof. Dawei WANG,"Ph.D., Northwestern University, United States",/uploads/image/202308/04816001188bf0e790c1c5649413faaf.jpg
Prof. Liao WANG,"Ph.D., Columbia University, United States",/uploads/image/202205/677495c150a5d266d70d9c0dcb4412cb.JPG
Prof. Weichen WANG,"Ph.D., Princeton University, United States",/uploads/image/202205/e6ed8893baab21218a44a8b834f8c247.JPG
"Prof. Xin WANG, Area Head of Accounting and Law Professor","Ph.D., Duke University, United States",/uploads/image/202205/f8c2ae64fb58e77abf85ee5554551f57.JPG
Prof. Zhengli WANG,"Ph.D., Stanford University, United States",/uploads/image/202205/044ba8d33cad6a8a94a3f4f851332cf7.JPG
Prof. Dan YANG,"Ph.D., The Wharton School of Business, University of Pennsylvania, United States",/uploads/image/202205/4fd3d974e3028aa4870763414ce02702.JPG
Prof. Benjamin YEN,"Ph.D., Columbia University, United States",/uploads/image/202205/060681afb968f30a11343b79edaec99f.JPG
"Prof. Wei ZHANG, MSc(BA) Programme Director","Ph.D., Purdue University, United States",/uploads/image/202205/4ffba69f304d9e0b6b87f091e0504495.JPG
